name,category,current_stock,min_stock,unit,last_updated,item_id,item_name,min_threshold,max_threshold,unit_cost,supplier
Magnesium Hypophosphite,Chemicals,3200,1100,kg,2024-08-12,209,Magnesium Hypophosphite,1100,2200,4.10,MineralInc
Safety Posts,Equipment,42,15,units,2024-08-13,210,Safety Posts,15,30,55.00,SafetyGear
Bulk Water Jets,Equipment,9,3,units,2024-08-14,211,Bulk Water Jets,3,6,9500.00,MachineryLtd
Potassium Hypophosphite,Chemicals,3800,1300,kg,2024-08-15,212,Potassium Hypophosphite,1300,2600,5.00,ChemSpecialty
Drum Water Jets,Equipment,15,5,units,2024-08-16,213,Drum Water Jets,5,10,650.00,MachineryLtd
Bulk X-Ray Fluorescers,Equipment,4,1,units,2024-08-17,214,Bulk X-Ray Fluorescers,1,2,48500.00,MachineryLtd
Calcium Hypophosphite,Chemicals,4200,1500,kg,2024-08-18,215,Calcium Hypophosphite,1500,3000,2.50,MineralInc
Safety Radios,Equipment,28,10,units,2024-08-19,216,Safety Radios,10,20,125.00,SafetyGear
Bulk Yarn Spinners,Equipment,7,2,units,2024-08-20,217,Bulk Yarn Spinners,2,4,16500.00,MachineryLtd
Sodium Iodide,Chemicals,3800,1300,kg,2024-08-21,218,Sodium Iodide,1300,2600,3.10,ChemSpecialty
Drum Yarn Spinners,Equipment,12,4,units,2024-08-22,219,Drum Yarn Spinners,4,8,950.00,MachineryLtd
Bulk Zinc Coaters,Equipment,6,2,units,2024-08-23,220,Bulk Zinc Coaters,2,4,24500.00,MachineryLtd
Magnesium Iodide,Chemicals,3200,1100,kg,2024-08-24,221,Magnesium Iodide,1100,2200,4.30,MineralInc
Safety Socks,Equipment,120,40,units,2024-08-25,222,Safety Socks,40,80,8.00,SafetyGear
Bulk Agitators,Equipment,18,6,units,2024-08-26,223,Bulk Agitators,6,12,1250.00,MachineryLtd
Potassium Iodide,Chemicals,3800,1300,kg,2024-08-27,224,Potassium Iodide,1300,2600,5.20,ChemSpecialty
Drum Agitators,Equipment,25,8,units,2024-08-28,225,Drum Agitators,8,16,450.00,MachineryLtd
Bulk Blenders,Equipment,15,5,units,2024-08-29,226,Bulk Blenders,5,10,1850.00,MachineryLtd
Calcium Iodide,Chemicals,4200,1500,kg,2024-08-30,227,Calcium Iodide,1500,3000,2.70,MineralInc
Safety Tapes,Equipment,350,120,units,2024-08-31,228,Safety Tapes,120,240,3.50,SafetyGear
Bulk Compressors,Equipment,9,3,units,2024-09-01,229,Bulk Compressors,3,6,12500.00,MachineryLtd
Sodium Lactate,Chemicals,3800,1300,kg,2024-09-02,230,Sodium Lactate,1300,2600,3.30,ChemSpecialty
Drum Compressors,Equipment,12,4,units,2024-09-03,231,Drum Compressors,4,8,950.00,MachineryLtd
Bulk Dehumidifiers,Equipment,8,3,units,2024-09-04,232,Bulk Dehumidifiers,3,6,8500.00,MachineryLtd
Magnesium Lactate,Chemicals,3200,1100,kg,2024-09-05,233,Magnesium Lactate,1100,2200,4.50,MineralInc
Safety Uniforms,Equipment,280,90,units,2024-09-06,234,Safety Uniforms,90,180,22.00,SafetyGear
Bulk Evaporators,Equipment,7,2,units,2024-09-07,235,Bulk Evaporators,2,4,18500.00,MachineryLtd
Potassium Lactate,Chemicals,3800,1300,kg,2024-09-08,236,Potassium Lactate,1300,2600,5.40,ChemSpecialty
Drum Evaporators,Equipment,15,5,units,2024-09-09,237,Drum Evaporators,5,10,650.00,MachineryLtd
Bulk Fans,Equipment,25,8,units,2024-09-10,238,Bulk Fans,8,16,85.00,MachineryLtd
Calcium Lactate,Chemicals,4200,1500,kg,2024-09-11,239,Calcium Lactate,1500,3000,2.90,MineralInc
Safety Whistles,Equipment,180,60,units,2024-09-12,240,Safety Whistles,60,120,5.00,SafetyGear
Bulk Grates,Equipment,35,12,units,2024-09-13,241,Bulk Grates,12,24,45.00,MachineryLtd
Sodium Malate,Chemicals,3800,1300,kg,2024-09-14,242,Sodium Malate,1300,2600,3.50,ChemSpecialty
Drum Grates,Equipment,28,10,units,2024-09-15,243,Drum Grates,10,20,65.00,MachineryLtd
Bulk Heat Exchangers,Equipment,9,3,units,2024-09-16,244,Bulk Heat Exchangers,3,6,12500.00,MachineryLtd
Magnesium Malate,Chemicals,3200,1100,kg,2024-09-17,245,Magnesium Malate,1100,2200,4.70,MineralInc
Safety Warning Lights,Equipment,42,15,units,2024-09-18,246,Safety Warning Lights,15,30,35.00,SafetyGear
Bulk Insulators,Equipment,18,6,units,2024-09-19,247,Bulk Insulators,6,12,450.00,MachineryLtd
Potassium Malate,Chemicals,3800,1300,kg,2024-09-20,248,Potassium Malate,1300,2600,5.60,ChemSpecialty
Drum Insulators,Equipment,22,8,units,2024-09-21,249,Drum Insulators,8,16,85.00,MachineryLtd
Bulk Joints,Equipment,28,10,units,2024-09-22,250,Bulk Joints,10,20,55.00,MachineryLtd
Calcium Malate,Chemicals,4200,1500,kg,2024-09-23,251,Calcium Malate,1500,3000,3.10,MineralInc
Safety Warning Signs,Equipment,120,40,units,2024-09-24,252,Safety Warning Signs,40,80,12.00,SafetyGear
Bulk Kilns,Equipment,7,2,units,2024-09-25,253,Bulk Kilns,2,4,22500.00,MachineryLtd
Sodium Nitrate,Chemicals,3800,1300,kg,2024-09-26,254,Sodium Nitrate,1300,2600,3.70,ChemSpecialty
Drum Kilns,Equipment,12,4,units,2024-09-27,255,Drum Kilns,4,8,950.00,MachineryLtd
Bulk Latches,Equipment,25,8,units,2024-09-28,256,Bulk Latches,8,16,45.00,MachineryLtd
Magnesium Nitrate,Chemicals,3200,1100,kg,2024-09-29,257,Magnesium Nitrate,1100,2200,4.90,MineralInc
Safety Watches,Equipment,65,20,units,2024-09-30,258,Safety Watches,20,40,55.00,SafetyGear
Bulk Mixers Industrial,Equipment,9,3,units,2024-10-01,259,Bulk Mixers Industrial,3,6,12500.00,MachineryLtd
Potassium Nitrate,Chemicals,3800,1300,kg,2024-10-02,260,Potassium Nitrate,1300,2600,5.80,ChemSpecialty
Drum Mixers,Equipment,15,5,units,2024-10-03,261,Drum Mixers,5,10,650.00,MachineryLtd
Bulk Nozzles High Pressure,Equipment,18,6,units,2024-10-04,262,Bulk Nozzles High Pressure,6,12,450.00,MachineryLtd
Calcium Nitrate,Chemicals,4200,1500,kg,2024-10-05,263,Calcium Nitrate,1500,3000,3.30,MineralInc
Safety X-Ray Goggles,Equipment,28,10,units,2024-10-06,264,Safety X-Ray Goggles,10,20,95.00,SafetyGear
Bulk Ovens Industrial,Equipment,7,2,units,2024-10-07,265,Bulk Ovens Industrial,2,4,18500.00,MachineryLtd
Sodium Oleate,Chemicals,3800,1300,kg,2024-10-08,266,Sodium Oleate,1300,2600,3.90,ChemSpecialty
Drum Ovens Industrial,Equipment,12,4,units,2024-10-09,267,Drum Ovens Industrial,4,8,1250.00,MachineryLtd
Bulk Presses Hydraulic,Equipment,8,3,units,2024-10-10,268,Bulk Presses Hydraulic,3,6,16500.00,MachineryLtd
Magnesium Oleate,Chemicals,3200,1100,kg,2024-10-11,269,Magnesium Oleate,1100,2200,5.10,MineralInc
Safety Y-Straps,Equipment,42,15,units,2024-10-12,270,Safety Y-Straps,15,30,25.00,SafetyGear
Bulk Quenchers Water,Equipment,9,3,units,2024-10-13,271,Bulk Quenchers Water,3,6,9500.00,MachineryLtd
Potassium Oleate,Chemicals,3800,1300,kg,2024-10-14,272,Potassium Oleate,1300,2600,6.00,ChemSpecialty
Drum Quenchers Water,Equipment,15,5,units,2024-10-15,273,Drum Quenchers Water,5,10,850.00,MachineryLtd
Bulk Reactors Chemical,Equipment,6,2,units,2024-10-16,274,Bulk Reactors Chemical,2,4,28500.00,MachineryLtd
Calcium Oleate,Chemicals,4200,1500,kg,2024-10-17,275,Calcium Oleate,1500,3000,3.50,MineralInc
Safety Zippers,Equipment,120,40,units,2024-10-18,276,Safety Zippers,40,80,8.00,SafetyGear
Bulk Screens Vibrating,Equipment,8,3,units,2024-10-19,277,Bulk Screens Vibrating,3,6,12500.00,MachineryLtd
Sodium Palmitate,Chemicals,3800,1300,kg,2024-10-20,278,Sodium Palmitate,1300,2600,4.10,ChemSpecialty
Drum Screens,Equipment,12,4,units,2024-10-21,279,Drum Screens,4,8,950.00,MachineryLtd
Bulk Tanks Chemical,Equipment,5,2,units,2024-10-22,280,Bulk Tanks Chemical,2,4,35000.00,MachineryLtd
Magnesium Palmitate,Chemicals,3200,1100,kg,2024-10-23,281,Magnesium Palmitate,1100,2200,5.30,MineralInc
Safety Arm Bands,Equipment,65,20,units,2024-10-24,282,Safety Arm Bands,20,40,12.00,SafetyGear
Bulk Ultrafilters Industrial,Equipment,7,2,units,2024-10-25,283,Bulk Ultrafilters Industrial,2,4,22500.00,MachineryLtd
Potassium Palmitate,Chemicals,3800,1300,kg,2024-10-26,284,Potassium Palmitate,1300,2600,6.20,ChemSpecialty
Drum Ultrafilters Industrial,Equipment,12,4,units,2024-10-27,285,Drum Ultrafilters Industrial,4,8,1250.00,MachineryLtd
Bulk Valves Control,Equipment,18,6,units,2024-10-28,286,Bulk Valves Control,6,12,850.00,MachineryLtd
Calcium Palmitate,Chemicals,4200,1500,kg,2024-10-29,287,Calcium Palmitate,1500,3000,3.70,MineralInc
Safety Bump Caps,Equipment,42,15,units,2024-10-30,288,Safety Bump Caps,15,30,18.00,SafetyGear
Bulk Water Jets High Pressure,Equipment,9,3,units,2024-10-31,289,Bulk Water Jets High Pressure,3,6,9500.00,MachineryLtd
Sodium Stearate,Chemicals,3800,1300,kg,2024-11-01,290,Sodium Stearate,1300,2600,4.30,ChemSpecialty
Drum Water Jets High Pressure,Equipment,15,5,units,2024-11-02,291,Drum Water Jets High Pressure,5,10,650.00,MachineryLtd
Bulk X-Ray Diffractometers,Equipment,4,1,units,2024-11-03,292,Bulk X-Ray Diffractometers,1,2,48500.00,MachineryLtd
Magnesium Stearate,Chemicals,3200,1100,kg,2024-11-04,293,Magnesium Stearate,1100,2200,5.50,MineralInc
Safety Caution Tape,Equipment,120,40,units,2024-11-05,294,Safety Caution Tape,40,80,6.00,SafetyGear
Bulk Yarn Twisters,Equipment,7,2,units,2024-11-06,295,Bulk Yarn Twisters,2,4,16500.00,MachineryLtd
Potassium Stearate,Chemicals,3800,1300,kg,2024-11-07,296,Potassium Stearate,1300,2600,6.40,ChemSpecialty
Drum Yarn Twisters,Equipment,12,4,units,2024-11-08,297,Drum Yarn Twisters,4,8,950.00,MachineryLtd
Bulk Zinc Platers,Equipment,6,2,units,2024-11-09,298,Bulk Zinc Platers,2,4,24500.00,MachineryLtd
Calcium Stearate,Chemicals,4200,1500,kg,2024-11-10,299,Calcium Stearate,1500,3000,3.90,MineralInc
Safety Door Bars,Equipment,65,20,units,2024-11-11,300,Safety Door Bars,20,40,35.00,SafetyGear
Bulk Agitators Heavy Duty,Equipment,9,3,units,2024-11-12,301,Bulk Agitators Heavy Duty,3,6,12500.00,MachineryLtd
Sodium Sulfate,Chemicals,3800,1300,kg,2024-11-13,302,Sodium Sulfate,1300,2600,4.50,ChemSpecialty
Drum Agitators Heavy Duty,Equipment,15,5,units,2024-11-14,303,Drum Agitators Heavy Duty,5,10,850.00,MachineryLtd
Bulk Blenders Industrial,Equipment,18,6,units,2024-11-15,304,Bulk Blenders Industrial,6,12,1850.00,MachineryLtd
Magnesium Sulfate,Chemicals,3200,1100,kg,2024-11-16,305,Magnesium Sulfate,1100,2200,5.70,MineralInc
Safety Edge Protectors,Equipment,42,15,units,2024-11-17,306,Safety Edge Protectors,15,30,22.00,SafetyGear
Bulk Compressors Industrial,Equipment,8,3,units,2024-11-18,307,Bulk Compressors Industrial,3,6,16500.00,MachineryLtd
Potassium Sulfate,Chemicals,3800,1300,kg,2024-11-19,308,Potassium Sulfate,1300,2600,6.60,ChemSpecialty
Drum Compressors Industrial,Equipment,12,4,units,2024-11-20,309,Drum Compressors Industrial,4,8,1250.00,MachineryLtd
Bulk Dehumidifiers Industrial,Equipment,9,3,units,2024-11-21,310,Bulk Dehumidifiers Industrial,3,6,9500.00,MachineryLtd
Calcium Sulfate,Chemicals,4200,1500,kg,2024-11-22,311,Calcium Sulfate,1500,3000,4.10,MineralInc
Safety Floor Markers,Equipment,120,40,units,2024-11-23,312,Safety Floor Markers,40,80,15.00,SafetyGear
Bulk Evaporators Industrial,Equipment,7,2,units,2024-11-24,313,Bulk Evaporators Industrial,2,4,22500.00,MachineryLtd
Sodium Tartrate,Chemicals,3800,1300,kg,2024-11-25,314,Sodium Tartrate,1300,2600,4.70,ChemSpecialty
Drum Evaporators Industrial,Equipment,15,5,units,2024-11-26,315,Drum Evaporators Industrial,5,10,950.00,MachineryLtd
Bulk Fans Industrial,Equipment,25,8,units,2024-11-27,316,Bulk Fans Industrial,8,16,120.00,MachineryLtd
Magnesium Tartrate,Chemicals,3200,1100,kg,2024-11-28,317,Magnesium Tartrate,1100,2200,5.90,MineralInc
Safety Guard Rails,Equipment,65,20,units,2024-11-29,318,Safety Guard Rails,20,40,45.00,SafetyGear
Bulk Grates Industrial,Equipment,18,6,units,2024-11-30,319,Bulk Grates Industrial,6,12,65.00,MachineryLtd
Potassium Tartrate,Chemicals,3800,1300,kg,2024-12-01,320,Potassium Tartrate,1300,2600,6.80,ChemSpecialty
Drum Grates Industrial,Equipment,22,8,units,2024-12-02,321,Drum Grates Industrial,8,16,85.00,MachineryLtd
Bulk Heat Exchangers Industrial,Equipment,9,3,units,2024-12-03,322,Bulk Heat Exchangers Industrial,3,6,12500.00,MachineryLtd
Calcium Tartrate,Chemicals,4200,1500,kg,2024-12-04,323,Calcium Tartrate,1500,3000,4.30,MineralInc
Safety Hand Rails,Equipment,42,15,units,2024-12-05,324,Safety Hand Rails,15,30,55.00,SafetyGear
Bulk Insulators Industrial,Equipment,15,5,units,2024-12-06,325,Bulk Insulators Industrial,5,10,450.00,MachineryLtd
Sodium Thiosulfate,Chemicals,3800,1300,kg,2024-12-07,326,Sodium Thiosulfate,1300,2600,4.90,ChemSpecialty
Drum Insulators Industrial,Equipment,28,10,units,2024-12-08,327,Drum Insulators Industrial,10,20,65.00,MachineryLtd
Bulk Joints Industrial,Equipment,35,12,units,2024-12-09,328,Bulk Joints Industrial,12,24,85.00,MachineryLtd
Magnesium Thiosulfate,Chemicals,3200,1100,kg,2024-12-10,329,Magnesium Thiosulfate,1100,2200,6.10,MineralInc
Safety Impact Gloves,Equipment,120,40,units,2024-12-11,330,Safety Impact Gloves,40,80,18.00,SafetyGear
Bulk Kilns Industrial,Equipment,8,3,units,2024-12-12,331,Bulk Kilns Industrial,3,6,16500.00,MachineryLtd
Potassium Thiosulfate,Chemicals,3800,1300,kg,2024-12-13,332,Potassium Thiosulfate,1300,2600,7.00,ChemSpecialty
Drum Kilns Industrial,Equipment,12,4,units,2024-12-14,333,Drum Kilns Industrial,4,8,1250.00,MachineryLtd
Bulk Latches Industrial,Equipment,25,8,units,2024-12-15,334,Bulk Latches Industrial,8,16,65.00,MachineryLtd
Calcium Thiosulfate,Chemicals,4200,1500,kg,2024-12-16,335,Calcium Thiosulfate,1500,3000,4.50,MineralInc
Safety Knee Pads,Equipment,95,30,units,2024-12-17,336,Safety Knee Pads,30,60,22.00,SafetyGear
Bulk Mixers High Shear,Equipment,9,3,units,2024-12-18,337,Bulk Mixers High Shear,3,6,12500.00,MachineryLtd
Sodium Urea,Chemicals,3800,1300,kg,2024-12-19,338,Sodium Urea,1300,2600,5.10,ChemSpecialty
Drum Mixers High Shear,Equipment,15,5,units,2024-12-20,339,Drum Mixers High Shear,5,10,950.00,MachineryLtd
Bulk Nozzles Specialized,Equipment,18,6,units,2024-12-21,340,Bulk Nozzles Specialized,6,12,550.00,MachineryLtd
Magnesium Urea,Chemicals,3200,1100,kg,2024-12-22,341,Magnesium Urea,1100,2200,6.30,MineralInc
Safety Ladder Cages,Equipment,42,15,units,2024-12-23,342,Safety Ladder Cages,15,30,85.00,SafetyGear
Bulk Ovens High Temp,Equipment,7,2,units,2024-12-24,343,Bulk Ovens High Temp,2,4,22500.00,MachineryLtd
Potassium Urea,Chemicals,3800,1300,kg,2024-12-25,344,Potassium Urea,1300,2600,7.20,ChemSpecialty
Drum Ovens High Temp,Equipment,12,4,units,2024-12-26,345,Drum Ovens High Temp,4,8,1650.00,MachineryLtd
Bulk Presses Specialized,Equipment,8,3,units,2024-12-27,346,Bulk Presses Specialized,3,6,18500.00,MachineryLtd
Calcium Urea,Chemicals,4200,1500,kg,2024-12-28,347,Calcium Urea,1500,3000,4.70,MineralInc
Safety Mirror Systems,Equipment,65,20,units,2024-12-29,348,Safety Mirror Systems,20,40,95.00,SafetyGear
Bulk Quenchers Oil,Equipment,9,3,units,2024-12-30,349,Bulk Quenchers Oil,3,6,9500.00,MachineryLtd
Sodium Valerate,Chemicals,3800,1300,kg,2024-12-31,350,Sodium Valerate,1300,2600,5.30,ChemSpecialty
Drum Quenchers Oil,Equipment,15,5,units,2025-01-01,351,Drum Quenchers Oil,5,10,850.00,MachineryLtd
Bulk Reactors High Pressure,Equipment,6,2,units,2025-01-02,352,Bulk Reactors High Pressure,2,4,28500.00,MachineryLtd
Magnesium Valerate,Chemicals,3200,1100,kg,2025-01-03,353,Magnesium Valerate,1100,2200,6.50,MineralInc
Safety Noise Meters,Equipment,42,15,units,2025-01-04,354,Safety Noise Meters,15,30,125.00,SafetyGear
Bulk Screens Rotary,Equipment,8,3,units,2025-01-05,355,Bulk Screens Rotary,3,6,12500.00,MachineryLtd
Potassium Valerate,Chemicals,3800,1300,kg,2025-01-06,356,Potassium Valerate,1300,2600,7.40,ChemSpecialty
Drum Screens Rotary,Equipment,12,4,units,2025-01-07,357,Drum Screens Rotary,4,8,950.00,MachineryLtd
Bulk Tanks High Pressure,Equipment,5,2,units,2025-01-08,358,Bulk Tanks High Pressure,2,4,35000.00,MachineryLtd
Calcium Valerate,Chemicals,4200,1500,kg,2025-01-09,359,Calcium Valerate,1500,3000,4.90,MineralInc
Safety Oxygen Monitors,Equipment,28,10,units,2025-01-10,360,Safety Oxygen Monitors,10,20,150.00,SafetyGear
Bulk Ultrafilters Specialized,Equipment,7,2,units,2025-01-11,361,Bulk Ultrafilters Specialized,2,4,22500.00,MachineryLtd
Sodium Xylene Sulfonate,Chemicals,3800,1300,kg,2025-01-12,362,Sodium Xylene Sulfonate,1300,2600,5.50,ChemSpecialty
Drum Ultrafilters Specialized,Equipment,12,4,units,2025-01-13,363,Drum Ultrafilters Specialized,4,8,1250.00,MachineryLtd
Bulk Valves Specialized,Equipment,18,6,units,2025-01-14,364,Bulk Valves Specialized,6,12,850.00,MachineryLtd
Magnesium Xylene Sulfonate,Chemicals,3200,1100,kg,2025-01-15,365,Magnesium Xylene Sulfonate,1100,2200,6.70,MineralInc
Safety Ppe Suits,Equipment,120,40,units,2025-01-16,366,Safety Ppe Suits,40,80,45.00,SafetyGear
Bulk Water Jets Specialized,Equipment,9,3,units,2025-01-17,367,Bulk Water Jets Specialized,3,6,9500.00,MachineryLtd
Potassium Xylene Sulfonate,Chemicals,3800,1300,kg,2025-01-18,368,Potassium Xylene Sulfonate,1300,2600,7.60,ChemSpecialty
Drum Water Jets Specialized,Equipment,15,5,units,2025-01-19,369,Drum Water Jets Specialized,5,10,650.00,MachineryLtd
Bulk X-Ray Analyzers,Equipment,4,1,units,2025-01-20,370,Bulk X-Ray Analyzers,1,2,48500.00,MachineryLtd
Calcium Xylene Sulfonate,Chemicals,4200,1500,kg,2025-01-21,371,Calcium Xylene Sulfonate,1500,3000,5.10,MineralInc
Safety Quench Tanks,Equipment,25,8,units,2025-01-22,372,Safety Quench Tanks,8,16,220.00,SafetyGear
Bulk Yarn Spinners Industrial,Equipment,7,2,units,2025-01-23,373,Bulk Yarn Spinners Industrial,2,4,16500.00,MachineryLtd
Sodium Zeolite,Chemicals,3800,1300,kg,2025-01-24,374,Sodium Zeolite,1300,2600,5.70,ChemSpecialty
Drum Yarn Spinners Industrial,Equipment,12,4,units,2025-01-25,375,Drum Yarn Spinners Industrial,4,8,950.00,MachineryLtd
Bulk Zinc Coaters Industrial,Equipment,6,2,units,2025-01-26,376,Bulk Zinc Coaters Industrial,2,4,24500.00,MachineryLtd
Magnesium Zeolite,Chemicals,3200,1100,kg,2025-01-27,377,Magnesium Zeolite,1100,2200,6.90,MineralInc
Safety Radiation Suits,Equipment,42,15,units,2025-01-28,378,Safety Radiation Suits,15,30,95.00,SafetyGear
Bulk Agitators Specialized,Equipment,9,3,units,2025-01-29,379,Bulk Agitators Specialized,3,6,12500.00,MachineryLtd
Potassium Zeolite,Chemicals,3800,1300,kg,2025-01-30,380,Potassium Zeolite,1300,2600,7.80,ChemSpecialty
Drum Agitators Specialized,Equipment,15,5,units,2025-01-31,381,Drum Agitators Specialized,5,10,850.00,MachineryLtd
Bulk Blenders High Shear,Equipment,18,6,units,2025-02-01,382,Bulk Blenders High Shear,6,12,1850.00,MachineryLtd
Calcium Zeolite,Chemicals,4200,1500,kg,2025-02-02,383,Calcium Zeolite,1500,3000,5.30,MineralInc
Safety Shower Stations,Equipment,65,20,units,2025-02-03,384,Safety Shower Stations,20,40,250.00,SafetyGear
Bulk Compressors High Pressure,Equipment,8,3,units,2025-02-04,385,Bulk Compressors High Pressure,3,6,16500.00,MachineryLtd
Sodium Zirconate,Chemicals,3800,1300,kg,2025-02-05,386,Sodium Zirconate,1300,2600,5.90,ChemSpecialty
Drum Compressors High Pressure,Equipment,12,4,units,2025-02-06,387,Drum Compressors High Pressure,4,8,1250.00,MachineryLtd
Bulk Dehumidifiers Specialized,Equipment,9,3,units,2025-02-07,388,Bulk Dehumidifiers Specialized,3,6,9500.00,MachineryLtd
Magnesium Zirconate,Chemicals,3200,1100,kg,2025-02-08,389,Magnesium Zirconate,1100,2200,7.10,MineralInc
Safety Traffic Cones,Equipment,280,90,units,2025-02-09,390,Safety Traffic Cones,90,180,12.00,SafetyGear
Bulk Evaporators Specialized,Equipment,7,2,units,2025-02-10,391,Bulk Evaporators Specialized,2,4,22500.00,MachineryLtd
Potassium Zirconate,Chemicals,3800,1300,kg,2025-02-11,392,Potassium Zirconate,1300,2600,8.00,ChemSpecialty
Drum Evaporators Specialized,Equipment,15,5,units,2025-02-12,393,Drum Evaporators Specialized,5,10,950.00,MachineryLtd
Bulk Fans High Velocity,Equipment,25,8,units,2025-02-13,394,Bulk Fans High Velocity,8,16,120.00,MachineryLtd
Calcium Zirconate,Chemicals,4200,1500,kg,2025-02-14,395,Calcium Zirconate,1500,3000,5.50,MineralInc
Safety UV Goggles,Equipment,42,15,units,2025-02-15,396,Safety UV Goggles,15,30,35.00,SafetyGear
Bulk Grates Heavy Duty,Equipment,18,6,units,2025-02-16,397,Bulk Grates Heavy Duty,6,12,65.00,MachineryLtd
Sodium Zincate,Chemicals,3800,1300,kg,2025-02-17,398,Sodium Zincate,1300,2600,6.10,ChemSpecialty
Drum Grates Heavy Duty,Equipment,22,8,units,2025-02-18,399,Drum Grates Heavy Duty,8,16,85.00,MachineryLtd
Bulk Heat Exchangers Specialized,Equipment,9,3,units,2025-02-19,400,Bulk Heat Exchangers Specialized,3,6,12500.00,MachineryLtd